ExerciseID,Exercise Name,Exercise Type,Exercise Difficulty,Exercise Target Muscle Group,Equipment Needed,Reps,Duration,Sets
STR_001,Bench Press (Implied),Strength,Beginner,Chest,1,10-15,N/A
STR_002,Bent-Over Row (Implied),Strength,Intermediate,Back,1,8-12,N/A
STR_003,Barbell Back Squat (Implied),Strength,Advanced,Legs,1,4-8,N/A
STR_004,Bicep Curl (Implied),Strength,Beginner,Arms,1,10-15,N/A
STR_005,Overhead Press (Implied),Strength,Intermediate,Shoulders,1,8-12,N/A
FLEX_001,Plank (Implied),Core,Beginner,Core,0,20-60s hold,N/A
FLEX_002,Cat-Cow Pose (Implied),Flexibility,Intermediate,FullBody,0,5-10 cycles,5-10 min total
FLEX_003,Doorway Chest Stretch (Implied),Flexibility,Advanced,Chest,0,15-30s hold,5-10 min total
FLEX_004,Seated Forward Bend (Implied),Flexibility,Beginner,Back,0,15-30s hold,5-10 min total
FLEX_005,Standing Quad Stretch (Implied),Flexibility,Intermediate,Legs,0,15-30s hold,5-10 min total
CARDIO_001,Arm Circles (Implied),Cardio,Beginner,Arms,0,10-15 each direction,5 min total
CARDIO_002,Lateral Raises (Cardio Pace - Implied),Cardio,Intermediate,Shoulders,1,15-25,N/A
CARDIO_003,Burpees (Implied),Cardio,Advanced,FullBody,0,10-15,N/A (often part of HIIT)
CARDIO_004,Jumping Jacks (Implied),Cardio,Beginner,FullBody,0,20-50,10-20 min total
CARDIO_005,Mountain Climbers (Implied),Cardio,Intermediate,Core,0,30-60s interval,N/A (often part of HIIT)
CARDIO_006,Running (Treadmill/Outdoor),Cardio,Intermediate,FullBody,0,N/A,20-45 min
CARDIO_007,Jogging,Cardio,Beginner,FullBody,0,N/A,15-30 min
CARDIO_008,Brisk Walking,Cardio,Beginner,FullBody,0,N/A,20-60 min
CARDIO_009,Cycling (Stationary/Outdoor),Cardio,Intermediate,Legs,1,N/A,20-60 min
CARDIO_010,Swimming (Freestyle),Cardio,Intermediate,FullBody,1,N/A,20-45 min
CARDIO_011,Swimming (Breaststroke),Cardio,Intermediate,FullBody,1,N/A,20-45 min
CARDIO_012,Swimming (Backstroke),Cardio,Intermediate,FullBody,1,N/A,20-45 min
CARDIO_013,Swimming (Butterfly),Cardio,Advanced,FullBody,1,N/A (Interval based),15-30 min (Intervals)
CARDIO_014,Rowing (Machine/Water),Cardio,Intermediate,FullBody,1,N/A,15-40 min
CARDIO_015,Elliptical Trainer,Cardio,Beginner,FullBody,1,N/A,15-40 min
CARDIO_016,Stair Climber / Stepmill,Cardio,Intermediate,Legs,1,N/A,10-30 min
CARDIO_017,High Knees,Cardio,Beginner,FullBody,0,30-60s interval,N/A (Warmup/HIIT)
CARDIO_018,Butt Kicks,Cardio,Beginner,Legs,0,30-60s interval,N/A (Warmup/HIIT)
CARDIO_019,Jump Rope / Skipping,Cardio,Intermediate,FullBody,1,N/A (Time based),10-25 min (Intervals)
CARDIO_020,Shadow Boxing,Cardio,Intermediate,FullBody,0,N/A (Rounds),15-30 min (Rounds)
CARDIO_021,"Dancing (e.g., Zumba)",Cardio,Intermediate,FullBody,0,N/A,30-60 min
CARDIO_022,Hiking,Cardio,Intermediate,Legs,0,N/A,45-180 min+
CARDIO_023,Sprints,Cardio,Advanced,FullBody,0,1 (Sprint),N/A (Short duration)
CARDIO_024,Agility Ladder Drills,Cardio,Intermediate,FullBody,1,N/A (Pattern based),10-15 min total
CARDIO_025,Cone Drills (Shuttle Run),Cardio,Intermediate,FullBody,1,1 (Run),N/A (Short duration)
CARDIO_026,Battle Ropes,Cardio,Intermediate,FullBody,1,20-40s interval,N/A (HIIT)
CARDIO_027,Assault Bike,Cardio,Advanced,FullBody,1,N/A (Interval based),10-20 min (Intervals)
CARDIO_028,Ski Erg,Cardio,Intermediate,FullBody,1,N/A (Interval based),10-20 min (Intervals)
STR_006,Bodyweight Squat,Strength,Beginner,Legs,0,15-25,N/A
STR_007,Barbell Back Squat,Strength,Intermediate,Legs,1,8-12,N/A
STR_008,Conventional Deadlift,Strength,Advanced,FullBody,1,3-6,N/A
STR_009,Push-up (Standard),Strength,Beginner,Chest,0,AMRAP / 10-20,N/A
STR_010,Pull-up (Overhand Grip),Strength,Intermediate,Back,1,AMRAP / 5-10,N/A
STR_011,Chin-up (Underhand Grip),Strength,Intermediate,Back,1,AMRAP / 5-12,N/A
STR_012,Overhead Press (Barbell/DB),Strength,Intermediate,Shoulders,1,6-10,N/A
STR_013,Bench Press (Barbell/DB - Flat),Strength,Intermediate,Chest,1,8-12,N/A
STR_014,Bent-Over Row (Barbell/DB),Strength,Intermediate,Back,1,8-12,N/A
STR_015,Lunge (Forward/Reverse),Strength,Beginner,Legs,0,10-15 each leg,N/A
STR_016,Plank (Forearm/High),Core,Beginner,Core,0,20-60s hold,N/A
STR_017,Farmer's Walk,Strength,Intermediate,FullBody,1,Distance/Time,N/A
STR_018,Incline Push-up,Strength,Beginner,Chest,0,12-20,N/A
STR_019,Decline Push-up,Strength,Intermediate,Chest,1,AMRAP / 8-15,N/A
STR_020,Diamond Push-up,Strength,Intermediate,Arms,0,AMRAP / 8-15,N/A
STR_021,Wide-Grip Push-up,Strength,Intermediate,Chest,0,AMRAP / 10-18,N/A
STR_022,Pike Push-up,Strength,Intermediate,Shoulders,0,AMRAP / 6-12,N/A
STR_023,Handstand Push-up (Strict/Kipping),Strength,Advanced,Shoulders,1,AMRAP / 3-10,N/A
STR_024,Incline Bench Press (Barbell/Dumbbell),Strength,Intermediate,Chest,1,8-12,N/A
STR_025,Decline Bench Press (Barbell/Dumbbell),Strength,Intermediate,Chest,1,8-12,N/A
STR_026,Chest Fly (Dumbbell/Cable/Machine),Strength,Beginner,Chest,1,10-15,N/A
STR_027,Dip (Chest Focused),Strength,Intermediate,Chest,1,AMRAP / 8-15,N/A
STR_028,Dip (Triceps Focused),Strength,Intermediate,Arms,1,AMRAP / 8-15,N/A
STR_029,Cable Crossover,Strength,Beginner,Chest,1,12-18,N/A
STR_030,Dumbbell Pullover,Strength,Intermediate,Chest,1,10-15,N/A
STR_031,Neutral Grip Pull-up,Strength,Intermediate,Back,1,AMRAP / 6-12,N/A
STR_032,Lat Pulldown (Wide/Narrow/Underhand),Strength,Beginner,Back,1,10-15,N/A
STR_033,Seated Cable Row,Strength,Beginner,Back,1,10-15,N/A
STR_034,Single-Arm Dumbbell Row,Strength,Beginner,Back,1,10-15 each arm,N/A
STR_035,T-Bar Row,Strength,Intermediate,Back,1,8-12,N/A
STR_036,Inverted Row / Bodyweight Row,Strength,Beginner,Back,1,AMRAP / 10-20,N/A
STR_037,Face Pull,Strength,Beginner,Shoulders,1,15-25,N/A
STR_038,Back Extension / Hyperextension,Strength,Beginner,Back,1,12-20,N/A
STR_039,Superman,Core,Beginner,Back,0,15-20,N/A
STR_040,Overhead Press (Barbell - Standing/Seated),Strength,Intermediate,Shoulders,1,6-10,N/A
STR_041,Overhead Press (Dumbbell - Standing/Seated),Strength,Intermediate,Shoulders,1,8-12,N/A
STR_042,Arnold Press,Strength,Intermediate,Shoulders,1,8-12,N/A
STR_043,Lateral Raise (Dumbbell/Cable),Strength,Beginner,Shoulders,1,12-20,N/A
STR_044,Front Raise (Dumbbell/Plate/Cable),Strength,Beginner,Shoulders,1,12-18,N/A
STR_045,Rear Delt Fly / Reverse Fly,Strength,Beginner,Shoulders,1,15-25,N/A
